block_id,grid_id,z,x,y,tile_url,local_relpath,tile_bbox_wgs84,request_status,image_sha256,http_status,attempt_utc,failure_reason,source_id,run_id
SSM-B001,SSM-B001-G01,18,229749,104184,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229749/104184.png,raw_tiles/ort_riku10/z18/x229749_y104184.png,"135.512237549,34.604954262,135.513610840,34.606084592",cached,eb354ab07c2ea7fdc987abe5fd18ce9d625f0389e1ac96de6c8c339e40b8fe85,200_cached,2026-06-25T14:09:31Z,,S007,SSM-T01A
SSM-B001,SSM-B001-G01,18,229750,104184,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229750/104184.png,raw_tiles/ort_riku10/z18/x229750_y104184.png,"135.513610840,34.604954262,135.514984131,34.606084592",cached,e39f18fa038950d179400c66cfbc381ffa417f8962fd954c196aba3aeac4b3d2,200_cached,2026-06-25T14:09:31Z,,S007,SSM-T01A
SSM-B001,SSM-B001-G01,18,229751,104184,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104184.png,raw_tiles/ort_riku10/z18/x229751_y104184.png,"135.514984131,34.604954262,135.516357422,34.606084592",cached,9a6030685986d3e33e96d832499fb0f3d3fd813d3fd42ee81e4f03d931377a22,200_cached,2026-06-25T14:09:31Z,,S007,SSM-T01A
SSM-B001,SSM-B001-G01,18,229749,104185,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229749/104185.png,raw_tiles/ort_riku10/z18/x229749_y104185.png,"135.512237549,34.603823915,135.513610840,34.604954262",cached,5ec41b7d2357d1f5e19431cd09431b3597c9e0c23c7c718e7a80eb6aca47600f,200_cached,2026-06-25T14:09:31Z,,S007,SSM-T01A
SSM-B001,SSM-B001-G01,18,229750,104185,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229750/104185.png,raw_tiles/ort_riku10/z18/x229750_y104185.png,"135.513610840,34.603823915,135.514984131,34.604954262",cached,d7e240a3a1d8701ec86f0dcabc8c53d30ce6da7b4e80b13ffe48da3ed37689cc,200_cached,2026-06-25T14:09:31Z,,S007,SSM-T01A
SSM-B001,SSM-B001-G01,18,229751,104185,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104185.png,raw_tiles/ort_riku10/z18/x229751_y104185.png,"135.514984131,34.603823915,135.516357422,34.604954262",cached,965a8df8ca8a78a438dab7b8c5f34a7e3fd355891ad3d563b10dc1d6448561ef,200_cached,2026-06-25T14:09:31Z,,S007,SSM-T01A
SSM-B001,SSM-B001-G01,18,229749,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229749/104186.png,raw_tiles/ort_riku10/z18/x229749_y104186.png,"135.512237549,34.602693554,135.513610840,34.603823915",cached,9fcb01dba71fe379b7a0e655296eba3e32c9fb8a534821450b79bfc9ef51f278,200_cached,2026-06-25T14:09:31Z,,S007,SSM-T01A
SSM-B001,SSM-B001-G01,18,229750,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229750/104186.png,raw_tiles/ort_riku10/z18/x229750_y104186.png,"135.513610840,34.602693554,135.514984131,34.603823915",cached,b12337d0469b0c36dd7139e23e45b142cbea73e0d1ab7ce6c4323a67f9995e37,200_cached,2026-06-25T14:09:31Z,,S007,SSM-T01A
SSM-B001,SSM-B001-G01,18,229751,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104186.png,raw_tiles/ort_riku10/z18/x229751_y104186.png,"135.514984131,34.602693554,135.516357422,34.603823915",cached,22ef2a8aacef28fb80b9ed2e5753903e8fd1fbc27c0cb1b105884c74e30dd9b7,200_cached,2026-06-25T14:09:31Z,,S007,SSM-T01A
SSM-B001,SSM-B001-G02,18,229751,104184,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104184.png,raw_tiles/ort_riku10/z18/x229751_y104184.png,"135.514984131,34.604954262,135.516357422,34.606084592",cached,9a6030685986d3e33e96d832499fb0f3d3fd813d3fd42ee81e4f03d931377a22,200_cached,2026-06-25T14:17:27Z,,S007,SSM-T01B
